Country,Satellite Altimetry Year,Satellite Altimetry
Albania,1992.0834,
Albania,1992.1666,
Albania,1992.25,
Albania,1992.3334,
Albania,1992.4166,
Albania,1992.5,
Albania,1992.5834,
Albania,1992.6666,
Albania,1992.75,44.5906
Albania,1992.8334,10.538206
Albania,1992.9166,5.66109
Albania,1993,-61.982527
Albania,1993.0834,-126.95755
Albania,1993.1666,-118.39871
Albania,1993.25,-133.99607
Albania,1993.3334,-55.37059
Albania,1993.4166,-76.51282
Albania,1993.5,-77.03742
Albania,1993.5834,-22.968272
Albania,1993.6666,21.69786
Albania,1993.75,53.103484
Albania,1993.8334,-12.656009
Albania,1993.9166,32.933895
Albania,1994,-55.417646
Albania,1994.0834,-30.852111
Albania,1994.1666,-142.02966
Albania,1994.25,-65.844096
Albania,1994.3334,-46.79277
Albania,1994.4166,-59.980117
Albania,1994.5,-42.06098
Albania,1994.5834,26.01881
Albania,1994.6666,-4.769927
Albania,1994.75,19.808562
Albania,1994.8334,44.643868
Albania,1994.9166,0.349381
Albania,1995,-24.569908
Albania,1995.0834,-54.129582
Albania,1995.1666,-123.04993
Albania,1995.25,-111.64613
Albania,1995.3334,-73.717274
Albania,1995.4166,-69.79512
Albania,1995.5,-40.349197
Albania,1995.5834,-28.582718
Albania,1995.6666,14.316571
Albania,1995.75,-5.840553
Albania,1995.8334,50.731562
Albania,1995.9166,85.33855
Albania,1996,47.49661
Albania,1996.0834,-24.019223
Albania,1996.1666,-45.34307
Albania,1996.25,-94.88076
Albania,1996.3334,-13.042216
Albania,1996.4166,-102.453575
Albania,1996.5,-53.844165
Albania,1996.5834,-31.75397
Albania,1996.6666,-0.107207
Albania,1996.75,34.449965
Albania,1996.8334,49.885303
Albania,1996.9166,41.892324
Albania,1997,32.376125
Albania,1997.0834,-122.930884
Albania,1997.1666,-141.24778
Albania,1997.25,-164.93782
Albania,1997.3334,-65.501675
Albania,1997.4166,-31.87599
Albania,1997.5,-49.29765
Albania,1997.5834,-46.634063
Albania,1997.6666,-9.021139
Albania,1997.75,57.677586
Albania,1997.8334,105.38411
Albania,1997.9166,75.99256
Albania,1998,-31.510886
Albania,1998.0834,-40.842313
Albania,1998.1666,-105.17147
Albania,1998.25,-65.15812
Albania,1998.3334,-66.508874
Albania,1998.4166,-46.858683
Albania,1998.5,-29.830728
Albania,1998.5834,-7.263877
Albania,1998.6666,32.832004
Albania,1998.75,50.219633
Albania,1998.8334,38.690377
Albania,1998.9166,1.36083
Albania,1999,-64.96569
Albania,1999.0834,-65.583944
Albania,1999.1666,-61.929487
Albania,1999.25,-69.46056
Albania,1999.3334,-61.63083
Albania,1999.4166,-63.00701
Albania,1999.5,-44.042844
Albania,1999.5834,16.398001
Albania,1999.6666,20.908916
Albania,1999.75,44.90696
Albania,1999.8334,46.909854
Albania,1999.9166,13.911053
Albania,2000,-29.951314
Albania,2000.0834,-26.535442
Albania,2000.1666,-87.568454
Albania,2000.25,-20.495296
Albania,2000.3334,-67.34538
Albania,2000.4166,-48.91612
Albania,2000.5,-41.17241
Albania,2000.5834,-9.426882
Albania,2000.6666,25.281457
Albania,2000.75,39.745927
Albania,2000.8334,74.72745
Albania,2000.9166,59.395738
Albania,2001,57.82521
Albania,2001.0834,-25.318682
Albania,2001.1666,5.819798
Albania,2001.25,-78.62976
Albania,2001.3334,-16.049705
Albania,2001.4166,-51.237326
Albania,2001.5,-4.262993
Albania,2001.5834,9.211696
Albania,2001.6666,37.95553
Albania,2001.75,45.375578
Albania,2001.8334,24.06743
Albania,2001.9166,-46.101864
Albania,2002,-48.668303
Albania,2002.0834,-40.224254
Albania,2002.1666,-69.271535
Albania,2002.25,-30.053375
Albania,2002.3334,-74.1955
Albania,2002.4166,-39.86934
Albania,2002.5,-29.508814
Albania,2002.5834,8.274381
Albania,2002.6666,75.06053
Albania,2002.75,71.501255
Albania,2002.8334,43.51711
Albania,2002.9166,67.33468
Albania,2003,30.986123
Albania,2003.0834,-62.91368
